File,aria_label,aria_description
Stage1.svg,Interactive map of Ontario,An Interactive map of Ontario
Stage2.svg,Interactive map of Ontario,An Interactive map of Ontario
Stage3.svg,Interactive map of Ontario,An Interactive map of Ontario
Stage4.svg,Interactive map of Ontario,An Interactive map of Ontario
Stage5.svg,Interactive map of Ontario,An Interactive map of Ontario
PaleozoicCover.svg,Interactive map of Ontario,An Interactive map of Ontario
SouthernCover.svg,Interactive map of Ontario,An Interactive map of Ontario
LGM.svg,Interactive map of Canada,An Interactive map of Canada
glaciallandforms.svg,Interactive block model of glacial landforms,An interactive block model of glacial landforms
Earthstructure.svg,Interactive diagram of Earth's structure,An interactive diagram of Earth's structure
Laurentia1.svg,Interactive map of Laurentia,An Interactive map of Laurentia
Laurentia2.svg,Interactive map of Laurentia,An Interactive map of Laurentia
Laurentia3.svg,Interactive map of Laurentia,An Interactive map of Laurentia
Laurentia4.svg,Interactive map of Laurentia,An Interactive map of Laurentia
Laurentia5.svg,Interactive map of Laurentia,An Interactive map of Laurentia
Laurentia6.svg,Interactive map of Laurentia,An Interactive map of Laurentia
Laurentia7.svg,Interactive map of Laurentia,An Interactive map of Laurentia
