LayerID,pathID,Hovertext_name,Secondary Text/link,Aria corrections,Aria Label
Mech,Inncore,Inner Core,The inner core is a solid metal because it is subjected to higher pressures than the outer core. ,,Inner Core.The inner core is a solid metal because it is subjected to higher pressures than the outer core. 
Mech,Outcore,Outer Core,The outer core is liquid metal because it is subjected to lower pressure than the solid inner core. ,,Outer Core.The outer core is liquid metal because it is subjected to lower pressure than the solid inner core. 
Mech,Mesos,Mesosphere,The mesosphere is the section of the mantle that is rigid below the mechanically-weak asthenosphere and the liquid outer core. Although it is solid the mantle still deforms over very long time frames. ,,Mesosphere.The mesosphere is the section of the mantle that is rigid below the mechanically-weak asthenosphere and the liquid outer core. Although it is solid the mantle still deforms over very long time frames. 
Comp,Crust,Crust,"The Earth's crust is the thin outer-most rind on which we live. The composition of rocks found in the crust is highly diverse, but is generally dominated by aluminum; calcium; iron; potassium; and sodium-rich silicate minerals. ",,"Crust.The Earth's crust is the thin outer-most rind on which we live. The composition of rocks found in the crust is highly diverse, but is generally dominated by aluminum; calcium; iron; potassium; and sodium-rich silicate minerals. "
Comp,Mantle,Mantle,The mantle is a compositionally distinct zone of the Earth composed of iron and magnesium-rich silicate minerals. Rocks in the mantle largely consist of ultramafic rocks like peridotite.,,Mantle.The mantle is a compositionally distinct zone of the Earth composed of iron and magnesium-rich silicate minerals. Rocks in the mantle largely consist of ultramafic rocks like peridotite.
Comp,Core,Core,The core of the earth is composed of iron and nickel metal alloys.,,Core.The core of the earth is composed of iron and nickel metal alloys.
Mech,Lithos,Lithosphere,The lithosphere is made of mechanically rigid plates consisting of either oceanic or continental crust and part of the uppermost mantle which is rigid above the asthenosphere.,,Lithosphere.The lithosphere is made of mechanically rigid plates consisting of either oceanic or continental crust and part of the uppermost mantle which is rigid above the asthenosphere.
Mech,Astheno,Asthenosphere,The asthenosphere is a mechanically 'weak' layer of the upon which lithospheric plates slide. The asthenosphere is solid and is the same composition as the rest of the mantle but contains a few percent of partial melt which allows it to deform ductiley. ,,Asthenosphere.The asthenosphere is a mechanically 'weak' layer of the upon which lithospheric plates slide. The asthenosphere is solid and is the same composition as the rest of the mantle but contains a few percent of partial melt which allows it to deform ductiley. 
Comp,ContCrust,Continental Crust,"Continental crust is made of mainly felsic rocks which are rich in aluminum, potassium, and calcium-silicate minerals. The density of continental crust is about 2.7 grams per cubic centimetre while the thickness of continental crust can be as much as about 120 km thick meaning that continental crust is substantially less dense but thicker than oceanic crust.",,"Continental Crust.Continental crust is made of mainly felsic rocks which are rich in aluminum, potassium, and calcium-silicate minerals. The density of continental crust is about 2.7 grams per cubic centimetre while the thickness of continental crust can be as much as about 120 km thick meaning that continental crust is substantially less dense but thicker than oceanic crust."
Comp,OceanCrust,Oceanic Crust,Oceanic crust is made of mafic rocks (basalt and gabbro) which are rich in iron and magnesium-rich silicate minerals. The density of oceanic crust is about 3 grams per cubic centimetre and the average thickness is about 10 km thick. ,,Oceanic Crust.Oceanic crust is made of mafic rocks (basalt and gabbro) which are rich in iron and magnesium-rich silicate minerals. The density of oceanic crust is about 3 grams per cubic centimetre and the average thickness is about 10 km thick. 
Comp,ocean,Ocean Water,Most of oceanic crust on Earth is covered by seawater.,,Ocean Water.Most of oceanic crust on Earth is covered by seawater.
Mech,Ddubprime,D-double prime layer,"The D-double prime layer is a discontinuous zone directly above the core-mantle boundary where the mantle is being heated by contact with the hotter core, resulting in a weak and mobile zone. This layer is the origin of mantle plumes which travel throughout the entire thickness of the mantle to reach the surface.",,"D double prime layer.The D double prime layer is a discontinuous zone directly above the core-mantle boundary where the mantle is being heated by contact with the hotter core, resulting in a weak and mobile zone. This layer is the origin of mantle plumes which travel throughout the entire thickness of the mantle to reach the surface."
Mech,Moho,Mohorovicic discontinuity,The boundary between the crust and the mantle.,,Mohorovicic discontinuity.The boundary between the crust and the mantle.
Mech,plume,Mantle Plume,"Mantle plumes are large columns of hot rock rising through the mantle from the D"" layer. These plumes rise bouyantly at rates between 100-200 km per million years and bring heat to the surface. Hot Spots are areas of volcanic activity that form due to this additional heat. ",,"Mantle Plume.Mantle plumes are large columns of hot rock rising through the mantle from the D"" layer. These plumes rise bouyantly at rates between 100-200 km per million years and bring heat to the surface. Hot Spots are areas of volcanic activity that form due to this additional heat. "
temps,pwaves,P-waves,"P-waves, or primary waves, are seismic waves that travel through the earth by vibrating in the same direction as the wave propogates. These waves typically travel faster through rock that is more dense and solid, and slower through mechanically weak layers or liquids.  ",,"P-waves.P-waves, or primary waves, are seismic waves that travel through the earth by vibrating in the same direction as the wave propogates. These waves typically travel faster through rock that is more dense and solid, and slower through mechanically weak layers or liquids.  "
temps,swaves,S-waves,S-waves (secondary waves) are seismic waves that vibrate in a direction perpendicular to their propogation direction. These waves cannot travel through liquids and slows down when travelling through mechanically weak rock layers.,,S-waves.S-waves (secondary waves) are seismic waves that vibrate in a direction perpendicular to their propogation direction. These waves cannot travel through liquids and slows down when travelling through mechanically weak rock layers.
temps,temperatures,Temperature,"The internal temperature of Earth changes with depth, a property called the geothermal gradient. The core is the hottest part of the Earth and it conductively transfers hear to the mantle. The mantle is cooler than the core by over a thousand degrees Kelvin but maintains a gentle geothermal gradient because convection of the mantle homogenizes the temperature gradient and causes heat to be lost to the surface. The lithosphere occurs above about 1000 K where mantle cools enough to become rigid. ",,"Temperature.The internal temperature of Earth changes with depth, a property called the geothermal gradient. The core is the hottest part of the Earth and it conductively transfers hear to the mantle. The mantle is cooler than the core by over a thousand degrees Kelvin but maintains a gentle geothermal gradient because convection of the mantle homogenizes the temperature gradient and causes heat to be lost to the surface. The lithosphere occurs above about 1000 K where mantle cools enough to become rigid. "
temps,density,Density,"The internal density profile of the Earth is a result of the compositional properties of different layers and the temperature and pressure profile with depth. The silicate minerals of the mantle and crust are much less dense than the iron-nickel alloys of the core. Similarly the crust is less dense than the mantle because has more silica, while the mantle has a higher concentration of heavy elements like iron and magnesium. Generally the density increases with depth because increased weight of materials lying above forces the compression of the rock material. ",,"Density.The internal density profile of the Earth is a result of the compositional properties of different layers and the temperature and pressure profile with depth. The silicate minerals of the mantle and crust are much less dense than the iron-nickel alloys of the core. Similarly the crust is less dense than the mantle because has more silica, while the mantle has a higher concentration of heavy elements like iron and magnesium. Generally the density increases with depth because increased weight of materials lying above forces the compression of the rock material. "
convection,convergence2,Convergent Margins,Convergent margins are places where lithospheric plates are destroyed. If oceanic lithosphere is involved this usually happens by subduction. Some subducting plates sink through the mantle all the way to the core mantle boundary where others stall at the boundary between the lower and upper mantle. ,,Convergent Margins.Convergent margins are places where lithospheric plates are destroyed. If oceanic lithosphere is involved this usually happens by subduction. Some subducting plates sink through the mantle all the way to the core mantle boundary where others stall at the boundary between the lower and upper mantle. 
