g_id,path_id,Title Text,Secondary Text,Correcting for Aria,Aria-label
Labelled,GFTZ,Grenville Front Tectonic Zone,A thrust fault,,Grenville Front Tectonic Zone.A thrust fault
Labelled,Superior,Superior Province,The core of Arctica,,Superior Province.The core of Arctica
Labelled,CGB,Central Gneiss Belt,Gneiss and Granite,,Central Gneiss Belt.Gneiss and Granite
Labelled,MCR,Mid Continent Rift,Rifting of Nena,,Mid Continent Rift.Rifting of Nena
Labelled,Southern,Southern Province,Deposition on the edge of Arctica,,Southern Province.Deposition on the edge of Arctica
Labelled,CMBBZ,Central Metasedimentary Belt Boundary Zone,A thrust fault,,Central Metasedimentary Belt Boundary Zone.A thrust fault
Labelled,CMB,Central Metasedimentary Belt,Metasedimentary,,Central Metasedimentary Belt.Metasedimentary
Labelled,Temiskaming,Kapuskasing Uplift,,,Kapuskasing Uplift.
Labelled,WinnipegRiver,Winnipeg River Subprovince,Plutonic,,Winnipeg River Subprovince.Plutonic
Labelled,Sachigo,Sachigo Subprovince,Metasedimentary,,Sachigo Subprovince.Metasedimentary
Labelled,Quetico,Quetico Belt,Metasedimentary,,Quetico Belt.Metasedimentary
Labelled,Opatica,Opatica Subprovince,Metasedimentary,,Opatica Subprovince.Metasedimentary
Labelled,EngRiver,English River Subprovince,Metasedimentary,,English River Subprovince.Metasedimentary
Labelled,Uchi,Uchi Subprovince,Granite-greenstone,,Uchi Subprovince.Granite-greenstone
Labelled,Abitibi,Abitibi Belt,Granite-greenstone,,Abitibi Belt.Granite-greenstone
Labelled,Wawa,Wawa Subprovince,Granite-greenstone,,Wawa Subprovince.Granite-greenstone
Labelled,Wabigoon,Wabigoon Subprovince,Granite-greenstone,,Wabigoon Subprovince.Granite-greenstone
Labelled,Berens,Berens River Subprovince,Granite-greenstone,,Berens River Subprovince.Granite-greenstone
Labelled,BirdR,Bird River Subprovince,Granite-greenstone,,Bird River Subprovince.Granite-greenstone
Labelled,Sudbury,Sudbury Basin,An ancient meteorite impact site,,Sudbury Basin.An ancient meteorite impact site
Labelled,Penokean,Penokean Orogenic Belt,Folding of the Southern Province,,Penokean Orogenic Belt.Folding of the Southern Province
Labelled,CobaltBay,Huronian Supergroup,Deposition on the edge of Arctica,,Huronian Supergroup.Deposition on the edge of Arctica
Labelled,Paleozoics,Paleozoic Cover Strata,Sedimentary rocks,,Paleozoic Cover Strata.Sedimentary rocks
Labelled,LSuperior,Lake Superior,Overlies the Mid Continent Rift,,Lake Superior.Overlies the Mid Continent Rift
Labelled,LNipigon,Lake Nipigon,Part of the Mid Continent Rift,,Lake Nipigon.Part of the Mid Continent Rift
Labelled,Grenville,Grenville Province,The formation of Rodinia,,Grenville Province.The formation of Rodinia
